SUB_TXT,STATION,DISTRICT,REGION
ABBA RIVER,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
ABBEY,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
ABROLHOS ISLANDS,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
ACTON PARK,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
ADAMSVALE,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
ADCOCK GORGE,DERBY,KIMBERLEY,REGIONAL WA REGION
ADDINGTON,YORK,WHEATBELT,REGIONAL WA REGION
ADELINE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ADELONG STATION,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ADOLPHUS ISLAND,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
AGNEW,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
AJANA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
ALBANY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
ALBION DOWNS STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ALDERSYDE,BROOKTON,GREAT SOUTHERN,REGIONAL WA REGION
ALEXANDER HEIGHTS,WARWICK,JOONDALUP,METROPOLITAN REGION NORTH
ALEXANDRA BRIDGE,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
ALFRED COVE,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
ALICE DOWNS STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
ALKIMOS,YANCHEP,JOONDALUP,METROPOLITAN REGION NORTH
ALLANOOKA,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
ALLANSON,COLLIE,SOUTH WEST,REGIONAL WA REGION
ALMA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
AMARILLO,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
AMBANIA,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
AMBER ROADHOUSE,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
AMBERGATE,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
AMELUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
AMERY,DOWERIN,WHEATBELT,REGIONAL WA REGION
ANCHOR ISLAND,ONSLOW,PILBARA,REGIONAL WA REGION
ANGELO RIVER,NEWMAN,PILBARA,REGIONAL WA REGION
ANKETELL,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
ANN BROOK,YORK,WHEATBELT,REGIONAL WA REGION
ANNA PLAINS STATION,BROOME,KIMBERLEY,REGIONAL WA REGION
